date,time,欧石晶坊,黑兔充值,手游专业充值平台,小埋小店果冻君小店,老狼手游充值,业务君的小店,柯基家
2017-11-09,09:00:00,385,388,377.88,388.8,376,378,ND
2017-11-10,09:00:00,395,388,377.88,397.8,390,390,ND
2017-11-11,09:00:00,385,391,384.88,398.8,385,385,ND
2017-11-12,09:00:00,385,391,381.88,393.8,383,385,ND
2017-11-13,09:00:00,385,391,379.88,393.8,379.8,383,ND
2017-11-14,09:00:00,385,391,384.88,388.8,375,380,ND
2017-11-15,09:00:00,385,391,379.88,388.8,375,378,ND
2017-11-16,09:00:00,385,391,377.88,388.8,374,379,ND
2017-11-17,09:00:00,385,391,377.88,388.8,382,382,ND
2017-11-19,09:00:00,378,385,377.88,387.8,373,378,ND
2017-11-20,09:00:00,378,385,377.88,384.8,370,376,ND
2017-11-21,09:00:00,375,385,374.88,378.8,374.8,375,ND
2017-11-22,09:00:00,375,378,373.88,378.8,372,372,ND
2017-11-23,09:00:00,375,378,371.88,375.8,369.8,369,ND
2017-11-24,09:00:00,378,375,367.88,374.8,369.8,368,ND
2017-11-26,09:00:00,365,372,361.88,364.8,358,362,ND
2017-11-27,09:00:00,365,372,361.88,364.8,358,360,ND
2017-11-29,09:00:00,355,359,354.88,359.8,355,355,ND
2017-11-30,09:00:00,355,356,354.88,358.8,350,353,355
2017-12-01,09:00:00,353,356,348.88,353.8,355,350,355
2017-12-02,09:00:00,339,350,334.88,344.5,338,339,340
2017-12-03,09:00:00,335,340,329.88,338,324.97,335,330
2017-12-04,09:00:00,335,335,328.88,335,321.47,330,329.99
2017-12-05,09:00:00,334,335,328.88,334.8,321.67,330,329.99
2017-12-06,09:00:00,329.99,335,324.88,333.8,317.57,327,324.99
2017-12-07,09:00:00,335,332,324.88,333.8,312.57,326,320.99
2017-12-09,09:00:00,332,332,324.88,332.8,316.57,326,321.99
2017-12-10,09:00:00,335,332,328.88,331.8,322.57,329,329.99
2017-12-11,09:00:00,480,348,349.88,354.8,337.57,345,339.99
2017-12-12,09:00:24,455.00,358.00,354.88,358.80,337.57,350.00,344.99
2017-12-12,15:00:23,357.99,358.00,354.88,358.80,337.57,350.00,344.99
